gen,nevals,avg,std,min,max
0,10,117.13283134031117,58.90669957175667,11.026232514516787,185.18119874372087
1,24,161.73960555227026,46.23817597680409,31.418235901868435,213.0849967753852
2,29,170.3977882072163,27.933118782086048,96.76865017763836,213.36006004094122
3,26,171.32684639416067,10.935996548403535,153.17110069820723,182.80210351875039
4,28,185.8231672524243,14.963026432285309,155.11886546651309,208.4964439386424
5,29,189.94007924848592,14.43903325187921,165.29859595057428,209.3966567394471
6,22,196.26615735793706,7.1598056289453815,185.17363319046245,205.40682190695685
7,28,190.4847190509592,23.670340253268524,160.40500998718673,228.73936748154054
8,28,195.10805721960102,12.180741020834624,173.9801124638695,205.94883058949773
9,28,187.50729285601838,15.135257068598447,160.45793139873706,205.94883058949773
10,23,189.81940736298992,9.972769749090745,174.3538443530906,205.94883058949773
11,27,187.43932518851173,12.928524037254164,162.08992819491255,201.0641760395565
12,28,190.6995236096895,9.762413601751865,175.85768876146875,210.34536119743404
13,26,182.40790140353764,18.216923799981267,153.20745835222687,210.34536119743404
14,27,187.39479203781178,14.074589996562574,169.03003630572113,203.90784840483266
15,29,209.38668725454045,10.17051381046164,187.86244211417397,220.49818239454933
16,26,197.32991666671074,14.589594529820154,175.07522225775892,225.54249160273918
17,27,177.55635874836585,17.926587313706875,145.02125130961264,201.76134306444254
18,28,185.3235606546083,12.858913617769936,170.37533081148814,218.943881201166
19,29,178.97416110822905,16.133729848617346,146.62763644199566,199.02659563851716
20,25,185.35983021784952,13.857930849244447,167.25054067641582,220.8800310421215
